URL,Version,Status,OIDs,Name,Title,Description,Used
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/va-test-distance,ValueSet/vs-rnfl-oct-thickness-map,ValueSet/va-optotypes,ValueSet/va-special-testing-parameters,ValueSet/report-codes,ValueSet/iop-code,ValueSet/vs-macular-oct-thickness-map,ValueSet/observation-codes,ValueSet/va-categorial-values"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/va-methods,ValueSet/va-special-testing-parameters,ValueSet/clinical-findings,ValueSet/vs-macular-edema-method,ValueSet/additional-instruction-codes,ValueSet/target-site-uv-ips,ValueSet/vs-normal-abnormal,ValueSet/procedure-followup,ValueSet/va-optotypes,ValueSet/device-action,ValueSet/Used-NotUsed,ValueSet/medication-codes,ValueSet/iop-methods,ValueSet/body-site,ValueSet/procedure-code,ValueSet/reason-medication-not-given-codes,ValueSet/medication-as-needed-reason,ValueSet/eye-laterality,ValueSet/device-kind,ValueSet/performer-role,ValueSet/lens-types,ValueSet/referencerange-appliesto,ValueSet/va-code,ValueSet/route-codes,ValueSet/va-correction-method,ValueSet/Present-Absent,ValueSet/Performed-NotPerformed,ValueSet/procedure-reason,ValueSet/procedure-outcome,ValueSet/procedure-category,ValueSet/condition-code,ValueSet/procedure-not-performed-reason,ValueSet/observation-methods,ValueSet/SUNFlare,ValueSet/imaging-methods,ValueSet/va-categorial-values,ValueSet/administration-method-codes"
http://standardterms.edqm.eu,5 February 2025,active,"0.4.0.127.0.16.1.1.2.1",EDQM_Standard_Terms,EDQM Standard Terms,"Standard terms published by the European Directorate for the Quality of Medicines & HealthCare (EDQM) for pharmaceutical dose forms, routes and methods of administration, containers, closures, administration devices and units of presentation.","ValueSet/IVIMedicationForm,ValueSet/medicine-route-of-administration"
http://terminology.hl7.org/CodeSystem/common-tags,1.0.1,active,"2.16.840.1.113883.4.642.1.1067",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","ValueSet/common-tags"
http://terminology.hl7.org/CodeSystem/data-absent-reason,1.0.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/dose-rate-type,1.0.0,draft,"2.16.840.1.113883.4.642.1.1069",DoseAndRateType,DoseAndRateType,"The kind of dose or rate specified.","ValueSet/dose-rate-type"
http://terminology.hl7.org/CodeSystem/med-admin-perform-function,1.0.1,active,"2.16.840.1.113883.4.642.1.1112",MedicationAdministrationPerformerFunctionCodes,MedicationAdministration Performer Function Codes,"MedicationAdministration Performer Function Codes","ValueSet/med-admin-perform-function"
http://terminology.hl7.org/CodeSystem/medication-admin-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.1111",MedicationAdministration Category Codes,Medication administration  category  codes,"MedicationAdministration Category Codes","ValueSet/medication-admin-category"
http://terminology.hl7.org/CodeSystem/medication-admin-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1311",MedicationAdministration Status Codes,Medication administration  status  codes,"MedicationAdministration Status Codes","ValueSet/medication-admin-status"
http://terminology.hl7.org/CodeSystem/medicationrequest-category,1.0.0,draft,"2.16.840.1.113883.4.642.1.1323",MedicationRequestCategoryCodes,MedicationRequest Category Codes,"MedicationRequest Category Codes","ValueSet/medicationrequest-category"
http://terminology.hl7.org/CodeSystem/medicationrequest-course-of-therapy,1.0.1,active,"2.16.840.1.113883.4.642.1.1327",MedicationRequestCourseOfTherapyCodes,MedicationRequest Course of Therapy Codes,"MedicationRequest Course of Therapy Codes","ValueSet/medicationrequest-course-of-therapy"
http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1325",MedicationRequestStatusReasonCodes,MedicationRequest Status Reason Codes,"MedicationRequest Status Reason Codes","ValueSet/medicationrequest-status-reason"
http://terminology.hl7.org/CodeSystem/observation-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/observation-category"
http://terminology.hl7.org/CodeSystem/reason-medication-given,1.0.1,active,"2.16.840.1.113883.4.642.1.1110",ReasonMedicationGivenCodes,Reason Medication Given Codes,"This value set is provided as an example. The value set to instantiate this attribute should be drawn from a robust terminology code system that consists of or contains concepts to support the medication process.","ValueSet/reason-medication-given-codes"
http://terminology.hl7.org/CodeSystem/referencerange-meaning,1.0.1,active,"2.16.840.1.113883.4.642.1.1124",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/referencerange-meaning"
http://terminology.hl7.org/CodeSystem/v2-0074,2.5.0,active,"2.16.840.1.113883.18.29",DiagnosticServiceSectionId,diagnosticServiceSectionId,"HL7-defined code system of concepts which specify a section of a diagnostic service where the observation may be performed.  Used in HL7 Version 2.x messaging in the OBR and OM4 segments.","ValueSet/diagnostic-service-sections"
http://terminology.hl7.org/CodeSystem/v3-ActReason,3.1.0,active,"2.16.840.1.113883.5.8",ActReason,ActReason,"A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.    *Examples:* Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".","ValueSet/v3-SubstanceAdminSubstitutionReason"
http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,3.0.0,active,"2.16.840.1.113883.5.1022",GTSAbbreviation,GTSAbbreviation,"*Open Issue:* It appears that the printnames are suboptimal and should be improved for many of the existing codes.","ValueSet/timing-abbreviation"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,3.0.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation"
http://terminology.hl7.org/CodeSystem/v3-TimingEvent,3.0.0,active,"2.16.840.1.113883.5.139",TimingEvent,TimingEvent,"**** MISSING DESCRIPTION ****","ValueSet/event-timing"
http://terminology.hl7.org/CodeSystem/v3-substanceAdminSubstitution,3.0.0,active,"2.16.840.1.113883.5.1070",SubstanceAdminSubstitution,Substance Admin Substitution,"Identifies what sort of change is permitted or has occurred between the therapy that was ordered and the therapy that was/will be provided.","ValueSet/v3-ActSubstanceAdminSubstitutionCode"
http://unitsofmeasure.org,3.0.1,active,"2.16.840.1.113883.6.8",UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/units-of-time"
https://eyematics.org/fhir/eyematics-kds/CodeSystem/iop-methods,2025.0.0-alpha,draft,,IOPMethods,IOP Methods Code System,"IOP additional method types","ValueSet/iop-methods"
https://eyematics.org/fhir/eyematics-kds/CodeSystem/ivi-treatment-regimen,2025.0.0-alpha,draft,,IVI_TreatmentRegimen,IVI Treatment Regimen,"IVI Treatment Regimen or Protocol","ValueSet/IVITeatmentRegimen"
https://eyematics.org/fhir/eyematics-kds/CodeSystem/oct-binary-biomarker,2025.0.0-alpha,draft,,OCT_Binary_Biomarker,OCT Binary Biomarker,"OCT Binary Biomarker that has no","ValueSet/oct-binary-bm-code"
https://eyematics.org/fhir/eyematics-kds/CodeSystem/sun-grades,2025.0.0-alpha,draft,,SUN_Grades,SUN Grades,"Grades of the Standardization of uveitis nomenclature","ValueSet/SUNCells"
https://eyematics.org/fhir/eyematics-kds/CodeSystem/va-optotypes,2025.0.0-alpha,draft,,VA_Optotypes,Visual Acuity Optotypes,"A CodeSystem that includes codes representing optotype used during visual acuity testing, that are not covered by loinc or snomed","ValueSet/va-optotypes"
https://eyematics.org/fhir/eyematics-kds/CodeSystem/vs-units,2025.0.0-alpha,draft,,VA_Units,Visual Acuity Units,"Units for quantitive measurement","ValueSet/va-quantity-units"
https://eyematics.org/fhir/eyematics-kds/CodeSystem/vs-va-correction-methods,2025.0.0-alpha,draft,,CS_VA_Correction_Methods,Visual Acuity Correction Methods,"Correction Methods not covered by snomed","ValueSet/va-correction-method"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
